Sentences,Label
I'm a bit disappointed.,0
The battery is completely useless to me.,0
What a big waste of time.,0
Don't waste your $$$ on this one.,0
Great sound and service.,1
Really pleased with this product so far.,1
One of my favorite purchases ever.,1
best bluetooth on the market.,1
Do not make the same mistake as me.,0
Big Disappointment with calendar sync.,0
the phone was unusable and was not new.,0
Worst Customer Service Ever.,0
It defeats the purpose of a bluetooth headset.,0
Worth every penny.,1
Excellent wallet type phone case.,1
Internet is excrutiatingly slow.,0
O my gosh the best phone I have ever had.,1
I love all the features and form factor.,1
poor quality and service.,0
"The cable looks so thin and flimsy, it is scary.",0
Great Earpiece.,1
Excellent hands free tool.,1
Great for using with your home stereo.,1
Good product - incredible value.,1
Works great.,1
Absolutel junk.,0
THAT one didn't work either.,0
Battery life is real good.,1
Returned 8 hours later.,0
It's a great item.,1
Don't waste your money!.,0
Unreliable - I'm giving up.,0
I gave it 5 stars because of the sound quality.,1
Avoid this one if you can.,0
Reversible plug works great.,1
I wasted my little money with this earpiece.,0
Very good phone.,1
"Best of all is the rotating feature, very helpful.",1
Comfort for our whole family.,1
"Good product, good seller.",1
"First of all, it doesn't wear well.",0
I got it because it was so small and adorable.,1
Great phone!.,1
I wouldn't recommend buying this product.,0
Piece of Junk.,0
Poorly contstruct hinge.,0
Great Phone.,1
Don't buy it.,0
Excellent Phone.,1
DO NOT PURCHASE THIS PHONE.,0
This is hands down the best phone I've ever had.,1
This one works and was priced right.,1
Customer service was terrible.,0
Sending it back.,0
Now I know that I made a wise decision.,1
Someone shouldve invented this sooner.,1
Good price.,1
Has been working great.,1
They do not care about the consumer one bit.,0
The instruction manual is lacking.,0
We have gotten a lot of compliments on it.,1
I want my money back.,0
I love this device.,1
I am also very happy with the price.,1
The Ngage is still lacking in earbuds.,0
"good item, low price.",1
The plug did not work very well.,0
AMAZON SUCKS.,0
Rip off---- Over charge shipping.,0
VERY comfortable.,1
Obviously there is a problem with the adhesive.,0
Very disappointing.,0
Excellent sound quality.,1
Was not happy.,0
New Battery works great in phone.,1
Worst customer service.,0
Reception is terrible and full of static.,0
Good audio quality.,1
Were JERKS on the phone.,0
Works like a charm.. Works as advertised.,1
"Comfortable, Nice Range, Good Battery Life.",1
Their network coverage in Los Angeles is horrible.,0
Excellent starter wireless headset.,0
Nice design and quality.,1
"bad fit, way too big.",0
It definitely was not as good as my S11.,1
awesome device.,1
Waste of money.,0
Love This Phone.,1
Protects the phone on all sides.,1
"Clear Skype Calls, Long Battery Life, Long Range.",1
Soyo technology sucks.,0
Great Hands Free Device.,1
Same problem as others have mentioned.,0
Magical Help.,1
Poor sound quality.,0
The best phone in market :).,1
It worked very well.,1
Exactly what I wanted.,1
This is a great deal.,1
Better than you'd expect.,1
Great product and price.,1
Very prompt service.,1
Excellent product for the price.,1
Very pleased with this headset.,1
don't waste your money and time.,0
I especially love the long battery life.,1
Works great.,1
Plantronics Bluetooth Excelent Buy.,1
I'll be looking for a new earpiece.,0
An Awesome New Look For Fall 2000!.,1
The plastic breaks really easy on this clip.,0
Price is good too.,1
Don't make the same mistake I did.,0
"every thing on phone work perfectly, she like it.",1
IT'S REALLY EASY.,1
Fantastic earphones.,1
Low Quality.,0
Warning - Stay away.,0
Awsome Device Works Great!!.,1
Very Displeased.,0
Restored my phone to like new performance.,1
Does not fit.,0
Very happy with this product.,1
Portable and it works.,1
Not good when wearing a hat or sunglasses.,0
Timely shipment and quality product.,1
Nice solid keyboard.,1
Very well made and fits my Surefire GX2 perfectly.,1
Horrible phone.,0
BT50 battery junk!.,0
We would recommend these to others.,1
Cant get the software to work with my computer.,0
Disappointed!.,0
poor voice clarity.,0
No buyers remorse on this one!.,0
Very disappointed in AccessoryOne.,0
The update procedure is difficult and cumbersome.,0
Great software for Motorolas.,1
The delivery was on time.,1
Very easy to use.,1
I'd like to return it.,0
I love this phone!.,1
A Disappointment.,0
Its not user friendly.,0
This PDA rocks.,1
Pretty piece of junk.,0
Plug was the wrong size.,0
Works as described.,1
Bad Purchase.,0
WELL IM SATISFIED.,1
Defective crap.,0
I would have given no star if I was able.,0
I wear glasses and it fits fine with them.,1
I would not recommend this item to anyone.,0
great...no problems at all!.,1
"very good product, well made.",1
Mobile Phone Tools are a must have.,1
The phone is sturdy and waterproof.,1
Works great!.,1
REALLY UGLY.,0
"horrible, had to switch 3 times.",0
The noise shield is incrediable.,1
No real improvement.,0
Razr Battery - Good buy.,1
They refuse to refund or replace.,0
I am glad I purchased it.,1
I've missed numerous calls because of this reason.,0
Don't buy this product.,0
Thank you for such great service.,1
Its a total package.,1
Great product for the price!.,1
"None of it works, just don't buy it.",0
Please dont waste your money.,0
Disapointing Results.,0
Cumbersome design.,0
Great Product.,1
This fixes all the problems.,1
Worst ever.,0
The battery life is highly unacceptable.,0
That company is a joke.,0
It does everything the description said it would.,1
"Voice Quality, Signal Strength, Dropped Calls.",0
Better than expected.,1
Battery is holding up well.,1
Sprint - terrible customer service.,0
Linked to my phone without effort.,1
Easy to use.,1
Better Than New.,1
"What possesed me to get this junk, I have no idea.",0
Piece of trash.,0
A pretty good product.,1
This is a great phone!.,1
Those phones are working just fine now.,1
I am more than happy with this product.,1
Poor Construction.,0
This is infuriating.,0
Sprint charges for this service.,0
"It is cheap, and it feel and look just as cheap.",0
It fits my ear well and is comfortable on.,1
It doesn't work in Europe or Asia.,0
Poor product.,0
However I needed some better instructions.,0
Very Dissapointing Performance.,0
Don't bother - go to the store.,0
You get what you pay for I guess.,0
Disappointing accessory from a good manufacturer.,0
Very wind-resistant.,1
Phone is sturdy as all nokia bar phones are.,1
Great phone.,1
I'm pleased.,1
Battery is terrible.,0
I found the product to be easy to set up and use.,1
Utter crap.. Sound quality is TERRIBLE.,0
Talk about USELESS customer service.,0
"It felt too light and ""tinny."".",0
I love the look and feel of Samsung flipphones.,1
Does everything it should and more.,1
I could not recommend these more.,0
Nice Sound.,1
Setup went very smoothly.,1
Can't upload ringtones from a third party.,0
Truly awful.,0
And none of the tones is acceptable.,0
camera color balance is AWFUL.,0
Chinese Forgeries Abound!.,0
Easy to pair with my Samsung Cell.,1
Works well.,1
Clear crisp sound.,1
Do NOT buy if you want to use the holster.,0
It doesn't make you look cool.,0
You can't beat the price on these.,1
lightweight and works well.,1
So just beware.,0
Can't store anything but phone numbers to SIM.,0
Poor quality.,0
"jabra ear gels ""R"" the best!.",1
Not worth it.,0
It was a great phone.,1
T-Mobile has the best customer service anywhere.,1
"Provides good protection and looks classy, too.",1
Krussel Always good.,1
The design is very good.4.,1
I great reception all the time.,1
I would highly recommend this product.,1
"stay away from this store, be careful.",0
Does not fit.,0
disappointing.,0
Blue Ant is easy to use.,1
The nano stated it.My son was dissapointed.,0
The sound quality is excellent as well.,1
Its the best headset I have used.,1
Would not reccommend.,0
Just what I wanted.,1
wont work right or atleast for me.,0
Great product.,1
Crisp and Clear.,1
The reception has been generally good.,1
Great bluetooth!.,1
I highly recommend this case.,1
WORTHWHILE.,1
This is a great deal.,1
I am sorry I made this purchase.,0
It was horrible!.,0
They work about 2 weeks then break.,0
It is simple to use and I like it.,1
NOT WHAT I WANTED.,0
I own 2 of these cases and would order another.,1
Great Phone.,1
Perfect for the PS3.,1
"Five star Plus, plus.",1
$50 Down the drain.,0
"Good , works fine.",1
For the price this was a great deal.,1
"If there is a wind, it is completely useless.",0
Does Not Work.,0
The reception through this headset is excellent.,1
Improper description.... I had to return it.,0
#1 It Works - #2 It is Comfortable.,1
Battery charge-life is quite long.,1
The Jabra EarGels fit my ears very well.,1
Battery has no life.,0
Product is exactly as described.,1
Gets a signal when other Verizon phones won't.,1
Doesn't do the job.,0
I would recommend it.,1
Plan on ordering from them again and again.,1
Awkward to use and unreliable.,0
Not as good as I had hoped.,0
Good case!.,1
Doesn't Work.,0
Really good product.,1
Unfortunately it did not work.,0
All three broke within two months of use.,0
dont buy it.,0
"My father has the V265, and the battery is dying.",0
"Horrible, horrible protector.",0
I don't like this Nokia either.,0
Terrible.. My car will not accept this cassette.,0
It's not what it says it is.,0
Stay Away From the Q!.,0
Used and dirty.,0
Not good enough for the price.,0
I bought two of them and neither will charge.,0
It looks very nice.,1
Comfortable in my hand.,1
Just does not work.,0
Poor Reliability.,0
Last time buying from you.,0
It was a waste of my money.,0
So far it has worked like a charm.,1
Would recommend this item.,1
"Nice case, feels good in your hands.",1
The item received was Counterfeit.,0
Works fine.,1
My sister has one also and she loves it.,1
Good Quality.,1
Excellent dual-purpose headset.,1
Excellent!.,1
Having trouble with volume.,0
WARNING - DO NOT BUY!!.,0
Best headset ever!!!.,1
Excellent product for the price.,1
Bad Reception.,0
It was quite comfortable in the ear.,1
Great phone.,1
Don't buy this product - It fails!.,0
Terrible phone holder.,0
The cutouts and buttons are placed perfectly.,1
"Good show, Samsung.",1
Leopard Print is wonderfully wild!.,1
Works for me.,1
"Saggy, floppy piece of junk.",0
much better than the hard plastic cases.,1
It also had a new problem.,0
Happy so far!.,1
cool phone.,1
Works good.,1
Does not charge the Cingular (ATT) 8525 phone.,0
Logitech Bluetooth Headset is a 10!.,1
I'm returning them.,0
"Otherwise, easy to install and use, clear sound.",1
nice leather.,1
I had to purchase a different case.,0
It is a joy to use.,1
Very much disappointed with this company.,0
Very satisifed with that.,1
It didn't charge for me.,0
Buttons are too small.,0
Just reading on the specs alone makes you say WOW.,1
Love it.. Great armband.,1
I was very impressed with the price of the cases.,1
Also makes it easier to hold on to.,1
It's pretty easy.,1
I cannot make calls at certain places.,0
Beautiful styling though.,1
I'm trying to return it for a refund.,0
Excellent product.,1
Earbud piece breaks easily.,0
Lousy product.,0
":-)Oh, the charger seems to work fine.",1
Not enough volume.,0
don't waste your money.,0
Adapter does not provide enough charging current.,0
Phone falls out easily.,0
Painful on the ear.,0
Lasted one day and then blew up.,0
disappointed.,0
Kind of flops around.,0
Item Does Not Match Picture.,0
